
Datum;Kl;NO;NO2;NOx;CO;CO2;PM10
2024-05-31;00:15:00;1.37375;5.06821;7.1673;0.307579;398.602;10.5324
2024-05-31;00:30:00;0.601152;4.85356;5.77212;0.313696;397.368;26.9292
2024-05-31;00:45:00;0.551503;4.19871;5.0414;0.324248;397.377;14.5993
2024-05-31;01:00:00;0.724013;4.08489;5.19118;0.337688;397.423;14.1382
2024-05-31;01:15:00;1.24943;4.24059;6.14972;0.338512;397.721;21.4211
2024-05-31;01:30:00;0.509047;4.2347;5.01253;0.332614;398.269;18.6897
2024-05-31;01:45:00;0.343146;2.76288;3.2872;0.335809;397.5;13.8105
2024-05-31;02:00:00;1.2956;3.99723;5.97692;0.339606;398.847;16.1803
2024-05-31;02:15:00;1.33631;3.91562;5.9575;0.322155;398.202;17.2897
2024-05-31;02:30:00;1.77832;4.46467;7.18195;0.306805;398.491;17.9211
2024-05-31;02:45:00;1.00801;2.63558;4.17583;0.289645;398.163;18.9545
2024-05-31;03:00:00;1.72893;11.2717;13.9135;0.317665;399.369;11.891
2024-05-31;03:15:00;1.08783;4.16781;5.83002;0.358587;399.022;15.9999
2024-05-31;03:30:00;0.760132;8.78055;9.94203;0.309361;403.368;28.5725
2024-05-31;03:45:00;2.25436;11.6187;15.0634;0.349681;404.797;21.0621
2024-05-31;04:00:00;1.34474;7.80857;9.86334;0.290452;405.176;29.9255
2024-05-31;04:15:00;1.458;5.08634;7.31417;0.290375;403.229;18.8474
2024-05-31;04:30:00;1.14678;4.5714;6.32369;0.274084;408.617;20.2044
2024-05-31;04:45:00;0.992572;4.69016;6.2068;0.226473;410.929;14.8392
2024-05-31;05:00:00;0.682335;3.6267;4.66931;0.253681;410.451;8.72047
2024-05-31;05:15:00;0.609085;4.32162;5.25231;0.277648;414.764;11.1469
2024-05-31;05:30:00;1.16246;5.60141;7.37766;0.319577;414.086;19.6958
2024-05-31;05:45:00;1.22977;5.86945;7.74854;0.362577;411.732;19.8791
2024-05-31;06:00:00;1.03712;7.07317;8.6579;0.362117;408.053;20.6936
2024-05-31;06:15:00;1.60967;7.25816;9.71773;0.337008;405.387;22.735
2024-05-31;06:30:00;1.19474;7.01142;8.83699;0.268517;403.572;19.2729
2024-05-31;06:45:00;1.36753;6.47365;8.56325;0.231482;402.963;18.377
2024-05-31;07:00:00;1.66114;9.48494;12.0232;0.264237;402.011;13.159
2024-05-31;07:15:00;1.92562;11.2689;14.2113;0.359115;400.52;14.1389
2024-05-31;07:30:00;0.79042;9.39748;10.6052;0.392182;399.31;13.7223
2024-05-31;07:45:00;1.80665;14.2807;17.0412;0.356138;398.201;21.8985
2024-05-31;08:00:00;1.55642;10.8317;13.2099;0.34785;396.691;14.635
2024-05-31;08:15:00;2.25069;11.939;15.3781;0.332153;396.654;18.6284
2024-05-31;08:30:00;2.23684;10.1633;13.5812;0.331407;396.641;23.1068
2024-05-31;08:45:00;0.860737;8.17148;9.48668;0.282769;395.684;21.5665
2024-05-31;09:00:00;1.85352;12.6679;15.5;0.296413;399.373;24.8008
2024-05-31;09:15:00;4.7205;21.2689;28.4819;0.367877;402.54;23.6742
2024-05-31;09:30:00;2.49193;15.188;18.9957;0.414491;397.157;23.3471
2024-05-31;09:45:00;2.37516;12.1578;15.7871;0.472014;396.061;20.4345
2024-05-31;10:00:00;1.77485;8.14099;10.853;0.4447;394.509;21.1773
2024-05-31;10:15:00;3.08884;21.7132;26.4329;0.451415;396.308;25.6991
2024-05-31;10:30:00;3.79544;14.675;20.4745;0.464487;394.827;26.6965
2024-05-31;10:45:00;4.0146;13.8873;20.0216;0.425931;395.847;25.5428
